"Horodatage","Geschlecht","Alter","Ausbildung","Deutsch...5","Hunde, die bellen, beißen nicht.","Eine Krähe hackt der andern kein Auge aus.","Die Katze lässt das Mausen nicht.","Geduld bringt Rosen.","Es fällt keine Eiche vom ersten Streiche.","Ein fauler Apfel steckt hundert an.","Schwein haben","jemandem einen Esel bohren","ein alter Hase sein","jemanden auf die Palme bringen","für jemanden die Kastanien aus dem Feuer holen","etwas durch die Blume sagen","1.     Eine Schwalbe macht noch ...","2.  Den Eseln, die das Korn zur Mühle tragen,  ...","3. Der Katzen Scherz ist …","4. Ein rollender Stein setzt ...","5. Unter Dornen wachsen ...","6. Wer das Laub fürchtet, bleibe ...","7. jemanden auf den Hund ...","8. arm sein wie eine ...","9. aus einer Mücke einen …","10. jemandem Rosen auf den Weg ...","11.  die Lorbeeren ...","12.  in die Binsen ...","Nennen Sie die zwei Phraseologismen (hier Sprichwörter und/oder sprichwörtliche Redensarten) mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Nennen Sie die drei Sprichwörter mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Geben Sie die drei sprichwörtlichen Redensarten mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","1.  Wer Gerste säen will, muss es den Hühnern nicht erzählen.","2. Einem geschenkten Gaul sieht man nicht ins Maul.","3. Eine schöne Blume steht nicht lange am Wege.","4. Keine Rose ohne Dornen.","5. Eulen nach Athen tragen","4. Perlen vor die Säue streuen","5. im Gerstenfeld mit seinen Gedanken sein","...40","6. bekannt sein wie ein gescheckter Hund","10. schlafen wie Dachs","1. Wer eine Elster ausschickt, dem kommt ein bunter Vogel wieder.","2. Lieber den Spatz in der Hand als eine Taube auf dem Dach.","3. Ein Esel schimpft den anderen Langohr.","4.  Ein fauler Apfel steckt hundert an.","5.  in den Nesseln sitzen","6.  jemanden hinter die Fichte führen","Deutsch...49","...50","Frage 1: 
Nennen Sie die zwei Phraseologismen mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Bitte notieren Sie hier Ihre E-Mail-Adresse, wenn Sie an den Ergebnissen der Befragung interessiert sind.","Wie gut kennen Sie die folgenden Sprichwörter und sprichwörtlichen Redensarten?","...54","6.  jmdn. hinter die Fichte führen","7","...57"
2024-04-08 13:59:38,"weiblich","18-24 Jahre","Sekundarabschluss","Muttersprache","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","nicht gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","keinen Sommer","ich kenne nicht","keine Ahnung","ich weiss nicht","keine Ahnung","keine Ahnung","keine Ahnung","keine Ahnung","Elefanten machen","werfen","keine Ahnung","ich weiss nicht wirklich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"das weiss ich nicht","das weiss ich nicht",NA,NA,NA,NA,NA,NA,NA,NA,"vor den Hund kommen / Getroffene Hunde bellen.",NA,NA,NA,NA,NA,NA
2024-03-18 13:33:12,"männlich","45-54 Jahre","Berufsausbildung","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Frühling","Das kenne ich nicht","keine Ahnung","kein Moos an","Rosen","-","-","Kirchenmaus","Elefanten machen","werfen","pflücken","kommen",NA,NA,NA,"kenne ich nicht","Ein Geschenk soll man nicht bemängeln.","Das Schöne ist leicht vergeben.","Das Schöne kann auch Makel haben.","kenne ich nicht","eine unnütze Sache sein","das kenne ich nicht",NA,"-","fest schlafen","kenne ich nicht","Besser ein Spatz in der Hand als eine Taube auf dem Dach.","Ein Esel schilt den anderen Sackträger.","weiss ich nicht","keine Ahnung","keine Ahnung",NA,NA,"Mit Speck fängt man Mäuse. & Getroffene Hunde bellen.",NA,NA,NA,NA,NA,NA
2023-08-02 11:56:38,"weiblich","35-44 Jahre","Promotion","Muttersprache","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","keinen Sommer",NA,"keine Ahnung","keine Ahnung","keine Ahnung","keine Ahnung","keine Ahnung","Kirchenmaus","Elefanten machen","streuen?","ernten","keine Ahnung",NA,NA,NA,"nie gehört. Es bedeutet wohl, dass man von Plänen nichts preisgeben sollte, weil sonst zu früh andere kommen und die Ideen klauen","Wenn man etwas geschenkt bekommt, kritisiert man es nicht.","nie gehört. Etwas Gutes kommt schnell weg?",NA,NA,"ich kenne es mit ""werfen"". Etwas, was viel zu gut ist für jemanden, an ihn vergeuden. Etwas, was nicht wertgeschätzt wird.","nie gehört. Keine Ahnung, was es bedeuten könnte. Vielleicht abwesend sein?",NA,"Eine Person kennt man überall sehr gut.",NA,"nie gehört","Lieber den Spatz in der Hand als DIE Taube auf dem Dach.","kenne keine Variante","nie gehört","keine Ahnung","jemanden hinters Licht führen",NA,NA,"Der Apfel fällt nicht weit vom Stamm. Der frühe Vogel fängt den Wurm.",NA,NA,NA,NA,NA,NA
2024-03-13 15:43:38,"männlich","65 und älter","Sekundarabschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","wird die Spreu","der Mäuse Tod","kein Moos an","Rosen","aus dem Wald","bringen","Kirchenmaus","Elefanten machen","werfen","ernten","gehen",NA,NA,NA,"Um sein Ziel erreichen zu können, muss man verschwiegen sein.","Über eine Spende soll man nicht nörgeln.","Man sieht eine schöne gute Sache nicht lange auf der Strasse.","Man bekommt keinen Lohn ohne Arbeit.","-","-","mit den Gedanken abwesend sein",NA,"sehr gut bekannt sein","tief schlafen","-","-","-","-","-","jemanden hinters Licht führen",NA,NA,"sein wie Hund und Katze / den Wald vor lauter Bäumen nicht sehen",NA,NA,NA,NA,NA,NA
2024-03-14 10:22:34,"weiblich","25-34 Jahre","Sekundarabschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","keinen Frühling","keine Ahnung","der Mäuse Tod","kein Moos","Rosen","aus dem Walde","-",NA,NA,"streuen","ernten","gehen",NA,NA,NA,"keine Ahnung","Man soll nur ein Geschenk annehmen, aber sich darüber nicht beschweren.",NA,NA,"weiss ich nicht","-","weiss ich nicht",NA,"gut bekannt sein",NA,"weiss nicht",NA,"keine Variante","Ein fauler Apfel steckt huntert gesunde an.","weiss ich nicht","jemanden hinters Licht führen",NA,NA,"etwas duch die Blume sagen / Wer Brennesseln pflanzt, kann keine Lilien finden.",NA,NA,NA,NA,NA,NA
2024-04-16 18:22:51,"weiblich","18-24 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt",NA,NA,NA,NA,"Rosen",NA,NA,NA,"Elefanten machen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Keine Rose ohne Dornen & Einem geschenkten Gaul schaut man nicht ins Maul.",NA,NA,NA,NA,NA,NA
2024-03-05 21:16:12,"männlich","65 und älter","Promotion","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","-","der Mäuse Tod","kein Moos an","gute Rosen","aus dem Walde","bringen","Kirchenmaus","Elefanten machen","werfen","ernten","gehen",NA,NA,NA,"Ein Vorhaben muss geheim gehalten werden.","Ein Geschenktes ist nicht prüfen.","Eine schöne Sache ist rasch genommen.","Das Glück kommt nach harter Arbeit.","Ein Unnützes unternehmen","idem","-",NA,"gut bekannt sein","tief schlafen","keine mögliche Variante kenne ich","Besser ein Spatz in der Hand als eine Taube auf dem Dach.","-","Ein fauler Apfel steckt hundert gesunde an.","sich in die Nesseln setzen","jemanden hinters Licht führen",NA,NA,"wie Hund und Katz sein / Ist die Katze aus dem Haus, so tanzen die Mäuse.",NA,NA,NA,NA,NA,NA
2023-07-29 15:54:02,"weiblich","55-64 Jahre","Habilitation","Muttersprache","sehr gut bekannt","gut bekannt","gut bekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer.",NA,NA,NA,NA,NA,NA,"Kirchenmaus","Elefanten machen",NA,NA,"gehen",NA,NA,NA,"kenne ich nicht","Man soll an Geshcenktem nicht herummäkeln.","kenne ich nicht",NA,NA,"Etwas Überflüssiges tun/sagen","kenne ich nicht",NA,"sehr gut bekannt sein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laß die Hunde bellen, singen kann er nicht.",NA,NA,NA,NA,NA,NA
2023-07-19 18:03:35,"weiblich","25-34 Jahre","Berufsausbildung","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","unbekannt","unbekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt",NA,NA,NA,NA,NA,NA,NA,"Kirchenmaus","Elefanten machen",NA,"Ernten",NA,NA,NA,NA,NA,"Man hinterfragt den Wert eines Geschenkes nicht.","Jeder möchte das Teuerste und Beste besitzen.",NA,NA,NA,"Ans Bier trinken denken",NA,"Der Name ist Publik, die Person ist überall positiv/negativ in aller Munde.",NA,"Wer eine Elster fortschickt, dem kehrt ein bunter Vogel wieder.","Lieber den Spatz in der Hand, statt der Taube auf dem Dach.","Ein Esel maßregelt den Anderen.","Ein bequemer Apfel motiviert hundert andere.","In den Nesseln Platz nehmen.","Jemanden hinter die Fichte begleiten.",NA,NA,"Betroffene Hunde bellen. / Einem geschenkten Gaul schaut man nicht ins Maul.",NA,NA,NA,NA,NA,NA
2024-03-07 20:34:43,"weiblich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","kommt das Futter zu.","der Mäuse Tod","kein Moos an","Rosen","aus dem Wald","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,NA,NA,NA,NA,"ein Wertloses machen",NA,NA,NA,"gut bekannt sein","arbeitslos sein",NA,"keine Ahnung","Ein Esel schilt den anderen Langohr.","keine Ahnung","unbekannt","-",NA,NA,"einen Bock schießen / in den sauren Apfel beißen",NA,NA,NA,NA,NA,NA
2024-03-10 08:19:56,"weiblich","35-44 Jahre","Promotion","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","-","-","-","Rosen","-","tragen","Kirchenmaus","Elefanten machen","streuen","ernten","überqueren",NA,NA,NA,NA,"Über ein Geschenktes sollte man nicht nörgeln",NA,NA,NA,NA,NA,NA,"gut bekannt sein","Taugenichts sein",NA,"Der Spatz in der Hand ist besser als eine Taube auf dem Dach.","Ein Esel nennt den anderen Sackträger.","kenne ich nicht","keine Ahnung","jemanden hinters Licht führen",NA,NA,"vom Pferd auf den Esel kommen & mit den Hühnern ins Bett gehen",NA,NA,NA,NA,NA,NA
2023-11-24 13:44:48,"männlich","35-44 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","unbekannt","gut bekannt","unbekannt","unbekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer",NA,"dass sie nie lachen","kein Moos an",NA,NA,"bringen","Kirchenmaus","Elefanten machen","streuen","ernten",NA,NA,NA,NA,"Etwas offensichtliches muss nicht kommuniziert werden","Unkritisch ein Geschenk annehmen",NA,NA,NA,NA,NA,NA,"Auffällig, berühmt oder prominent sein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Einen Kater haben und einem geschenkten Gaul schaut man nicht ins Maul",NA,NA,NA,NA,NA,NA
2024-03-10 13:29:50,"weiblich","55-64 Jahre","Habilitation","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","-","kenne ich nicht","keine Ahnung","Rosen","aus dem Wald","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","schlagen",NA,NA,NA,NA,NA,NA,NA,"keine Ahnung","-","keine Ahnung",NA,"bekannt sein",NA,"-","Besser ein Spatz in der Hand als eine Taube auf dem Dach.","Ein Esel nennt den anderen Sackträger.","Ein fauler Apfel steckt die anderen Früchte an.","sich in die Nesseln setzen","jemanden hinters Licht führen",NA,NA,"Der Fisch stinkt vom Kopf. Wo jedermann geht, da wächst kein Gras.",NA,NA,NA,NA,NA,NA
2023-08-15 20:48:29,"männlich","25-34 Jahre","Bachelor-Abschluss","Muttersprache","sehr gut bekannt","unbekannt","unbekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,NA,NA,NA,"Kirchenmaus","Elefanten machen",NA,NA,NA,NA,NA,NA,"Kenne ich nicht.","Geschenke soll man nicht kritisieren.","Man sollte gute Gelegenheiten schnell ausnutzen.",NA,NA,"Kenne ich nicht.","Kenne ich nicht.",NA,"Kenne ich nicht.",NA,"Kenne ich nicht.","Besser auf Nummer sicher gehen als für einen grösseren Ertrag alles zu riskieren.","Kenne ich nicht.","Kenne ich nicht.","In einer unangenehmen Situatio nsein.","Kenne ich nicht.",NA,NA,"Wie die Maus in der Falle. Hungrig wie ein Bär.",NA,NA,NA,NA,NA,NA
2023-07-18 17:29:14,"weiblich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","gut bekannt","nicht gut bekannt","gut bekannt","unbekannt","nicht gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,NA,NA,"kommen","Kirchenmaus","einen Elefanten machen",NA,"ernten",NA,NA,NA,NA,"unbekannt","Wenn man etwas geschenkt erhält, soll man nicht meckern und dankbar sein, auch wenn man sich vielleicht etwas anderes erhofft hätte.","unbekannt, vielleicht im Sinne von 'man soll die Gelegenheit ergreifen, wenn sich einem etwas Schönes erbietet'",NA,NA,"unbekannt","unbekannt, aber hätte es als 'geistig abwesend, mit den Gedanken woanders sein' interpretiert",NA,"eine sehr bekannte Person (wie ein gescheckter Hund, weil dieser auffällt)",NA,NA,"Lieber den Spatz in der Hand als die Taube auf dem Dach.",NA,NA,NA,"jemanden hinters Licht führen",NA,NA,"Der Apfel fällt nicht weit vom Stamm. / Einen Kater haben.",NA,NA,NA,NA,NA,NA
2024-03-20 07:47:04,"weiblich","18-24 Jahre","Sekundarabschluss","Muttersprache","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","nicht gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Frühling","keine Ahnung","der Mäuse Tod","Das weiss ich nicht","Rosen","zu Hause","bringen","kenne ich nicht","Elefanten machen","werfen","das weiss ich nicht","fallen",NA,NA,NA,"ich weiss nicht","keine Ahnung","-","-","-","-","-",NA,"sehr gut bekannt sein","schlärig sein","kenne ich nicht","Der Spatz in der Hand ist besser als eine Taube auf dem Dach.","keine andere Form","weiss ich nicht","-","-",NA,NA,"einen Vogel haben / eine dicke Birne haben",NA,NA,NA,NA,NA,NA
2023-10-26 21:00:57,"männlich","25-34 Jahre","Abitur/Matura","Muttersprache","gut bekannt","nicht gut bekannt","nicht gut bekannt","sehr gut bekannt","nicht gut bekannt","nicht gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt",NA,NA,NA,NA,"Rosen",NA,"nehmen","Maus","Elefanten machen","streuen","ernten",NA,NA,NA,NA,"Ich denke das bedeutet man soll niemandem erzählen, wenn man etwas Wertvolles hat, sonst wird es von jemandem gestohlen.","Wenn man etwas geschenkt bekommt, soll man froh und dankbar sein darum und es nicht bemängeln, egal was es für ein Geschenk ist.","Wenn etwas schön ist, wird es begehrt.",NA,NA,"Das weiss ich nicht.","Das weiss ich nicht.",NA,"Das weiss ich nicht.",NA,"Das weiss ich nicht.","Das weiss ich nicht.","Das weiss ich nicht.","Das weiss ich nicht.","Das weiss ich nicht.","Das weiss ich nicht.",NA,NA,"Einem geschenkten Gaul schaut man nicht ins Maul. Der frühe Vogel fängt den Wurm.",NA,NA,NA,NA,NA,NA
2023-07-23 11:42:00,"männlich","18-24 Jahre","Bachelor-Abschluss","Muttersprache","nicht gut bekannt","unbekannt","unbekannt","nicht gut bekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt",NA,NA,NA,NA,"Rosen",NA,NA,NA,"Elefanten machen",NA,"ernten",NA,NA,NA,NA,"Unbekannt","Nicht über ein Geschenk meckern","Unbekannt",NA,NA,"Unbekannt","Unbekannt",NA,"Unbekannt",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Der frühe Vogel fängt den Wurm.
Ein blindes Huhn findet auch mal ein Korn.",NA,NA,NA,NA,NA,NA
2023-07-17 16:43:59,"männlich","25-34 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","nicht gut bekannt","nicht gut bekannt","nicht gut bekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt",NA,NA,NA,NA,NA,NA,NA,NA,"Elefanten machen",NA,"Einsammeln",NA,NA,NA,NA,"Weiß ich nicht","Wenn etwas geschenkt ist, hackt man nicht drauf rum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Der Hund ist ein Löwe in seinem Hause",NA,NA,NA,NA,NA,NA
2024-04-13 20:23:58,"weiblich","18-24 Jahre","Berufsausbildung","Muttersprache","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","nicht gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","unbekennt","ich weiss nicht","ich weiss nicht","Rosen","aus dem Walde","bringen","ich weiss nicht","Elefanten machen","keine Ahnung","essen","ich kenne nicht",NA,NA,NA,"Ein geschickter Mensch soll überall sein Vorhaben nicht erzählen.","Ein Geschenk soll man nicht bemängeln",NA,NA,"etwas überflüssiges machen",NA,NA,NA,"auffallen","schlafen?",NA,NA,NA,NA,NA,"jemanden hinters Licht führen",NA,NA,"Keine Rose ohne Dornen / Verbotene Äpfel sind süß.",NA,NA,NA,NA,NA,NA
2023-11-14 22:09:21,"weiblich","35-44 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","unbekannt","gut bekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,NA,NA,NA,"Kirchenmaus","Elefanten machen","geben","ernten","gehen",NA,NA,NA,"besser nicht Pläne denen erzählen, die einem im Weg stehen würden?","Geschenke annehmen und nicht hinterfragen","man muss rasch zugreifen bei attraktiven Angeboten? oder attraktive Menschen sind rasch vergeben?",NA,NA,"wenn man für jmd erwas macht/gibt und er es nicht schätz",NA,NA,NA,NA,NA,"Besser einen Spatz in der Hand als eine Taube auf dem Dach",NA,NA,NA,NA,NA,NA,"Besser den Spatz in der Hand, als die Taube auf dem Dach.
Der Apfel fällt nicht weit vom Stamm.",NA,NA,NA,NA,NA,NA
2024-03-07 09:40:38,"männlich","45-54 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","kommt das Heu zu","-","-",NA,"zu Hause","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","hauen",NA,NA,NA,"Alles ist nicht herumzuerzählen",NA,NA,NA,NA,NA,"weiss ich nicht",NA,"sehr gut bekannt",NA,NA,"-","Ein Esel schimpt den anderen Sackträger.","Ein fauler Apfel steckt hundert gesunde an.","in der Patsche sitzen","keine Ahnung",NA,NA,"mit jemandem Pferde stehlen & ein toller Hecht sein",NA,NA,NA,NA,NA,NA
2024-02-13 15:12:31,"männlich","35-44 Jahre","Bachelor-Abschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","-","der Mäuse Tod","-","Rosen","im Bett","-","Kirchenmaus","Elefanten machen","werfen","ernten","gehen",NA,NA,NA,"-","-","Jeder Mann will eine schöne Frau haben.","Jede Sache hat eine Doppelseite","-","-","-",NA,"sehr berühmt sein","die ganze Zeit am Schlafen verbringen",NA,NA,NA,NA,NA,"jemanden anlügen",NA,NA,"Die Lerche fliegt hoch, aber sie baut ihr Nest auf der Erde.",NA,NA,NA,NA,NA,NA
2023-07-20 13:22:05,"weiblich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","unbekannt","nicht gut bekannt","nicht gut bekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt",NA,NA,NA,"kein Moss an",NA,NA,"bringen","Kirchenmaus","Elephanten machen",NA,"ernten",NA,NA,NA,NA,"kenne ich nicht","man soll sein Glück nicht hinterfragen","wenn sich etwas Gutes/Positives bietet, soll man nicht zögern",NA,NA,"jemand weiss Dinge nicht zu schätzen","abgelenkt sein",NA,"etwas/jemand ist auffällig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"das schleckt keine Geiss weg; jemandem ist eine Laus über die Leber gekrochen",NA,NA,NA,NA,NA,NA
2023-07-17 18:37:59,"weiblich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","nicht gut bekannt","nicht gut bekannt","gut bekannt","nicht gut bekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","keinen Frühling",NA,"der Mäuse Tod",NA,"Rosen",NA,"kommen","Kirchenmaus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"ein Geheimnis für sich behalten","ein Geschenk/Gabe nicht kritisieren/in Frage stellen","Erfolg bricht schnell ab",NA,NA,"etwas Verschwenden","am Herumträumen sein",NA,"unbekannt",NA,NA,"lieber den Spatz in der Hand als gar keinen Vogel",NA,NA,NA,"jemanden hinters Licht führen",NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-20 10:59:23,"weiblich","18-24 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","nicht gut bekannt","gut bekannt","nicht gut bekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","keinen Sommer.",NA,NA,NA,NA,NA,"bringen.","Kirchenmaus.","Elefanten machen.",NA,"ernten.",NA,NA,NA,NA,"Dass man, um Erfolg zu haben, anderen (möglichen Konkurrent*innen) nicht zu viel erzählen soll.","Gute Dinge und Taten von anderen Menschen, deren Motivation auf den ersten Blick nicht gleich ersichtlich ist, nicht zu stark hinterfragen sondern lieber das Angebot annehmen und profitieren.","Kenne ich nicht.",NA,NA,"Etwas Schönes, Gutes o.ä. wird verschwendet oder nicht angemessen gewürdigt, etwas ist zu Gut für das Andere.","Kenne ich nicht.",NA,"Jemand der bekannt ist, weil er auffällig ist, weil er aus der Masse heraussticht.",NA,"Kenne ich nicht.","Kenne keine bekannte Umformulierung.","Kenne ich nicht.","Kenne ich nicht.","Kenne ich nicht.","Jemanden hinters Licht führen.",NA,NA,"Da hast du Schwein gehabt. Der frühe Vogel fängt den Wurm.",NA,NA,NA,NA,NA,NA
2024-03-20 14:00:56,"weiblich","45-54 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","unbekannt","der Mäuse Tod","kein Moos an","Rosen","zu Hause","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"keine Ahnung","bekannt","bekannt","bekannt","unbekannt","unbekannt","unbekannt",NA,"sehr gut bekannt sein","tief schlafen","unbekannt","Besser ein Spatz in der Hand als eine Taube auf dem Dach.","Ein Esel nennt den anderen Langohr.","unbekannt","sich in die Brennnesseln setzen","jemanden hinters Licht führen",NA,NA,"Hunde, die bellen, beißen nicht. / jemanden zur Schnecke machen",NA,NA,NA,NA,NA,NA
2024-03-05 15:32:21,"männlich","55-64 Jahre","Sekundarabschluss","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","keine Ahnung","der Mäuse Tod","-","Rosen","aus dem Wald","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"unbekannt","keine Ahnung","Man findet eine gute Kuh im Stall.","Wer nicht gespielt hat, darf sich keinen Sieg anstreben.",NA,"-","weiss nicht",NA,"sehr beliebt sein","tief schlafen","-","-","-","-","-","jemanden täuschen",NA,NA,"Wo Hunde sind, da ist auch Hundedreck. / Der frühe Vogel fängt den Wurm.",NA,NA,NA,NA,NA,NA
2024-03-13 20:09:01,"männlich","45-54 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","nicht gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","-","keine Ahnung",NA,"Rosen",NA,"bringen","Kirchenmaus",NA,"streuen","pflücken","gehen",NA,NA,NA,"-",NA,NA,NA,"-","etwas Unnützes durchführen","kenne ich nicht",NA,"sehr gut bekannt sein",NA,"keine Ahnung",NA,"Ein Esel schilt den anderen Langohr.","keine Ahnung","keine Ahnung","jemanden hinters Licht führen",NA,NA,"einen Kater haben & Die Ente lacht über das Watscheln der Gans.",NA,NA,NA,NA,NA,NA
